city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
77,0.7759999999999999,1,0,0,3,5,15,3,2,5,47,0.0
50,0.767,1,1,0,4,5,21,3,3,4,8,0.0
49,0.92,1,1,0,2,0,5,3,3,1,24,0.0
83,0.762,1,1,0,3,5,13,1,2,5,18,1.0
5,0.92,1,1,0,3,5,7,3,2,1,46,1.0
5,0.92,1,1,0,3,5,5,7,2,1,108,0.0
91,0.913,1,1,0,3,5,21,6,2,3,23,0.0
13,0.926,1,1,0,3,5,16,2,2,5,18,0.0
47,0.843,1,1,0,4,5,11,4,2,1,68,0.0
13,0.926,1,1,0,4,5,11,4,2,2,50,0.0
77,0.7759999999999999,1,1,0,3,3,0,6,2,1,65,0.0
2,0.887,1,1,0,2,0,11,1,2,1,8,1.0
64,0.624,1,1,0,3,5,18,3,3,2,68,1.0
5,0.92,1,1,0,3,5,21,4,2,3,40,0.0
5,0.92,1,1,2,3,5,19,7,2,5,141,0.0
49,0.92,0,1,0,3,5,21,4,2,5,82,0.0
48,0.91,1,1,0,3,2,12,7,2,3,145,0.0
5,0.92,1,1,0,3,5,10,2,4,2,206,0.0
13,0.926,1,0,2,2,0,1,8,6,1,152,0.0
13,0.926,1,1,0,5,5,21,4,2,4,42,1.0
13,0.926,0,1,1,4,5,16,6,1,2,14,0.0
6,0.924,1,1,0,2,0,4,2,2,2,36,0.0
64,0.624,1,1,2,4,5,9,7,2,3,7,1.0
64,0.624,1,1,0,3,5,5,4,2,0,87,1.0
5,0.92,2,1,0,3,5,19,8,1,4,52,1.0
112,0.923,1,1,0,3,5,11,2,2,1,21,0.0
93,0.6659999999999999,1,1,0,3,5,10,4,2,2,102,0.0
7,0.794,1,0,0,3,3,5,8,2,5,26,0.0
13,0.926,1,0,1,2,0,4,8,2,1,43,0.0
6,0.924,1,1,0,3,5,21,4,2,1,45,0.0
101,0.754,1,1,1,3,5,2,3,4,2,52,0.0
50,0.767,1,1,0,3,3,21,4,2,5,26,1.0
103,0.939,1,1,0,3,5,6,4,2,3,25,0.0
2,0.887,1,1,0,4,3,21,4,2,5,48,0.0
118,0.865,1,1,0,3,5,10,3,2,2,142,1.0
95,0.855,2,0,0,4,3,4,8,2,4,13,0.0
48,0.91,0,1,0,4,3,14,5,1,1,28,0.0
26,0.8270000000000001,1,1,0,3,5,2,2,2,1,29,0.0
74,0.893,1,1,0,4,5,5,3,2,2,65,0.0
5,0.92,1,0,0,3,3,3,4,2,1,35,0.0
95,0.855,1,0,1,3,5,9,8,2,3,14,0.0
5,0.92,0,1,0,4,5,2,1,4,1,4,0.0
5,0.92,1,1,0,3,5,15,3,2,5,12,0.0
49,0.92,1,1,0,3,5,21,3,2,2,108,0.0
99,0.884,1,1,0,3,5,15,2,4,1,86,0.0
89,0.866,0,0,2,3,5,0,2,2,2,83,0.0
5,0.92,0,0,0,3,3,3,4,2,1,13,1.0
94,0.802,1,1,1,3,5,9,3,2,1,33,0.0
94,0.802,1,1,0,3,5,6,3,2,2,14,1.0
11,0.55,1,1,0,3,5,6,2,2,2,27,1.0
11,0.55,1,1,0,3,5,8,4,2,1,24,1.0
5,0.92,0,1,0,3,5,11,5,5,5,20,0.0
48,0.91,1,1,0,3,5,12,7,2,1,52,0.0
103,0.939,1,1,0,3,5,21,3,2,2,160,0.0
30,0.897,1,1,0,4,5,9,7,2,2,3,0.0
64,0.624,1,1,0,3,5,2,1,2,2,2,1.0
48,0.91,1,1,0,3,5,21,6,2,5,28,0.0
95,0.855,1,1,0,3,5,8,3,2,1,210,0.0
13,0.926,1,1,0,3,5,10,1,2,1,36,0.0
64,0.624,1,1,1,3,5,2,2,5,2,101,0.0
120,0.925,1,1,0,3,5,21,6,2,5,19,0.0
64,0.624,1,1,0,3,5,3,4,2,2,26,1.0
85,0.8959999999999999,1,1,0,3,5,9,1,2,4,59,0.0
49,0.92,1,1,2,3,2,10,3,3,1,260,0.0
64,0.624,0,1,0,3,5,11,3,2,5,74,0.0
48,0.91,1,1,0,5,5,21,4,2,2,20,1.0
55,0.878,1,1,0,3,5,12,4,2,2,8,0.0
5,0.92,1,1,0,3,5,6,4,2,1,131,0.0
111,0.693,1,1,1,3,5,11,2,2,2,109,0.0
95,0.855,1,1,0,3,3,3,4,2,1,70,0.0
5,0.92,0,1,0,3,5,21,4,5,5,17,0.0
5,0.92,0,0,0,4,5,15,3,2,1,51,0.0
5,0.92,0,1,0,3,5,6,3,2,3,60,1.0
13,0.926,1,0,0,3,5,12,4,2,5,7,0.0
4,0.804,1,0,0,2,0,2,1,5,0,145,0.0
5,0.92,1,0,0,4,3,3,8,2,1,133,1.0
5,0.92,1,1,0,3,5,10,1,3,1,76,0.0
64,0.624,0,1,0,3,6,8,7,2,2,34,0.0
49,0.92,1,0,0,3,5,9,1,2,2,15,0.0
5,0.92,1,1,0,3,5,21,7,2,5,15,0.0
95,0.855,1,1,2,3,5,6,5,2,0,102,0.0
5,0.92,1,0,0,5,5,21,3,2,5,14,0.0
64,0.624,1,1,0,3,5,6,8,2,4,49,1.0
114,0.925,1,1,1,3,5,14,7,2,3,141,1.0
5,0.92,1,1,0,3,5,13,8,2,1,6,0.0
5,0.92,1,1,0,3,4,17,7,2,1,125,0.0
5,0.92,1,1,0,3,6,21,4,2,2,33,0.0
5,0.92,0,1,0,4,5,15,8,2,5,55,0.0
42,0.698,1,0,0,3,5,21,5,2,5,32,0.0
5,0.92,1,1,0,3,1,21,4,2,5,11,0.0
101,0.754,1,1,0,3,5,21,1,2,1,41,0.0
5,0.92,1,1,0,4,5,21,8,1,5,87,1.0
95,0.855,1,1,0,4,5,10,4,2,4,114,0.0
116,0.698,1,1,2,4,5,5,1,4,1,15,0.0
55,0.878,0,1,2,2,0,2,4,5,1,22,0.0
5,0.92,1,1,0,4,5,21,7,2,4,13,0.0
121,0.949,1,1,0,3,5,21,1,1,1,246,0.0
5,0.92,1,1,0,4,5,9,2,2,1,22,0.0
5,0.92,1,1,0,4,5,21,1,3,1,81,0.0
5,0.92,1,1,0,3,5,21,4,3,1,50,0.0
70,0.939,1,1,0,4,5,21,2,2,5,31,0.0
13,0.926,1,1,0,4,5,21,3,2,0,84,0.0
30,0.897,1,1,2,3,5,4,8,2,1,42,0.0
5,0.92,0,1,0,3,5,21,3,2,5,72,0.0
14,0.789,1,1,0,3,5,14,2,2,5,42,1.0
119,0.698,1,1,0,3,5,15,3,4,1,152,0.0
5,0.92,1,1,0,3,5,12,8,2,1,60,0.0
48,0.91,1,1,0,4,5,4,4,3,0,38,0.0
