gender,enrolled_university,education_level,experience,company_size,company_type,last_new_job,city,city_development_index,relevent_experience,major_discipline,training_hours,target
1.0,0.0,3.0,21.0,5.0,2.0,1.0,5,0.92,1,5,36,1.0
1.0,0.0,3.0,15.0,3.0,2.0,5.0,77,0.7759999999999999,0,5,47,0.0
1.0,1.0,3.0,5.0,4.0,2.0,0.0,64,0.624,0,5,83,0.0
1.0,1.0,3.0,0.0,3.0,2.0,0.0,14,0.789,0,2,52,1.0
1.0,0.0,4.0,21.0,3.0,3.0,4.0,50,0.767,1,5,8,0.0
1.0,2.0,3.0,11.0,6.0,2.0,1.0,57,0.764,1,5,24,1.0
1.0,0.0,2.0,5.0,3.0,3.0,1.0,49,0.92,1,0,24,0.0
1.0,0.0,3.0,13.0,1.0,2.0,5.0,83,0.762,1,5,18,1.0
1.0,0.0,3.0,7.0,3.0,2.0,1.0,5,0.92,1,5,46,1.0
1.0,0.0,3.0,17.0,8.0,2.0,5.0,5,0.92,1,5,123,0.0
1.0,1.0,2.0,2.0,3.0,3.0,0.0,64,0.624,0,0,32,1.0
1.0,0.0,3.0,5.0,7.0,2.0,1.0,5,0.92,1,5,108,0.0
1.0,0.0,3.0,21.0,6.0,2.0,3.0,91,0.913,1,5,23,0.0
1.0,0.0,3.0,2.0,3.0,2.0,0.0,64,0.624,0,0,24,0.0
1.0,1.0,2.0,5.0,2.0,3.0,0.0,64,0.624,0,0,26,0.0
1.0,0.0,3.0,16.0,2.0,2.0,5.0,13,0.926,1,5,18,0.0
1.0,0.0,3.0,1.0,3.0,2.0,0.0,5,0.92,1,5,106,0.0
1.0,0.0,3.0,2.0,7.0,2.0,2.0,64,0.624,1,5,7,0.0
1.0,0.0,3.0,7.0,8.0,2.0,0.0,64,0.624,1,5,23,1.0
0.0,0.0,3.0,4.0,5.0,2.0,1.0,26,0.8270000000000001,1,1,132,1.0
1.0,0.0,4.0,11.0,4.0,2.0,1.0,47,0.843,1,5,68,0.0
1.0,0.0,4.0,11.0,4.0,2.0,2.0,13,0.926,1,5,50,0.0
1.0,0.0,4.0,10.0,4.0,2.0,1.0,4,0.804,1,5,48,0.0
1.0,0.0,3.0,0.0,6.0,2.0,1.0,77,0.7759999999999999,1,3,65,0.0
1.0,0.0,3.0,5.0,6.0,2.0,1.0,64,0.624,1,5,13,0.0
1.0,0.0,2.0,4.0,4.0,2.0,0.0,95,0.855,0,0,22,0.0
0.0,2.0,3.0,14.0,5.0,2.0,1.0,64,0.624,1,5,148,1.0
1.0,0.0,3.0,5.0,5.0,3.0,2.0,5,0.92,1,1,72,0.0
1.0,0.0,2.0,11.0,1.0,2.0,1.0,2,0.887,1,0,8,1.0
1.0,0.0,3.0,18.0,3.0,3.0,2.0,64,0.624,1,5,68,1.0
1.0,0.0,3.0,21.0,4.0,2.0,3.0,5,0.92,1,5,40,0.0
1.0,2.0,3.0,19.0,7.0,2.0,5.0,5,0.92,1,5,141,0.0
0.0,1.0,3.0,5.0,4.0,2.0,1.0,5,0.92,0,5,24,0.0
0.0,0.0,3.0,21.0,4.0,2.0,5.0,49,0.92,1,5,82,0.0
1.0,0.0,3.0,12.0,7.0,2.0,3.0,48,0.91,1,2,145,0.0
1.0,0.0,3.0,10.0,2.0,4.0,2.0,5,0.92,1,5,206,0.0
1.0,2.0,2.0,1.0,8.0,6.0,1.0,13,0.926,0,0,152,0.0
1.0,0.0,5.0,21.0,4.0,2.0,4.0,13,0.926,1,5,42,1.0
1.0,0.0,3.0,12.0,5.0,3.0,4.0,5,0.92,0,5,50,0.0
1.0,0.0,2.0,3.0,4.0,2.0,0.0,99,0.884,0,0,106,0.0
0.0,1.0,4.0,16.0,6.0,1.0,2.0,13,0.926,1,5,14,0.0
1.0,0.0,2.0,4.0,2.0,2.0,2.0,6,0.924,1,0,36,0.0
1.0,0.0,4.0,6.0,3.0,4.0,1.0,64,0.624,1,5,112,1.0
1.0,0.0,3.0,9.0,3.0,2.0,0.0,93,0.6659999999999999,0,4,108,0.0
1.0,2.0,4.0,9.0,7.0,2.0,3.0,64,0.624,1,5,7,1.0
0.0,1.0,4.0,5.0,5.0,3.0,0.0,64,0.624,0,5,26,1.0
