,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,intercept
"logistic_linear(lasso), lambda=0.001",-0.08446175277632988,-0.8613679971748469,-0.005309119815355636,-0.12146577138508036,0.014577133541309807,-0.06990561042896433,0.04807207150536564,-0.25501885191529905,0.0899786011055043,-0.03584638539036084,0.0693782006793828,-0.046552376791145045,-0.31663064642549965
"logistic_linear(lasso), lambda=0.01",-0.08448401613831186,-0.8613400727039028,-0.005323156328152647,-0.12149030373192467,0.014619047240491042,-0.06987571587299121,0.04799876594455065,-0.2549787093295525,0.09001589425173864,-0.03583461196842854,0.06937422776021537,-0.046507634960018876,-0.31655902211299297
"logistic_linear(lasso), lambda=0.1",-0.08432157507755815,-0.8612422558273972,-0.005225626117100425,-0.12139207908388809,0.014529199318237717,-0.06969848832554691,0.047830078138416825,-0.2549386493925488,0.089928747289337,-0.03576787173515994,0.06925589982869605,-0.046457469947869964,-0.3165368118411884
"logistic_linear(lasso), lambda=1",-0.08326338415060586,-0.8603058609805617,-0.004479666688781694,-0.12070940694106774,0.013957311056456513,-0.06818281131672918,0.04636509196386148,-0.25420471720157434,0.0893414018496447,-0.03519560349635496,0.0680979154832273,-0.04578307150552472,-0.3162177008062247
"logistic_linear(lasso), lambda=10",-0.07234013263781323,-0.8513019201901686,0.0,-0.11420490163063136,0.008573438578947408,-0.05306330687875397,0.031710813125426104,-0.24669733030121013,0.08358772733173925,-0.029732887107355027,0.05648850211549413,-0.03901057324541232,-0.312956791461101
"logistic_linear(lasso), lambda=100",0.0,-0.7741311430377417,0.0,-0.05765022512892086,0.0,0.0,0.0,-0.1805175187075102,0.01928541875579658,0.0,0.0,0.0,-0.2872276997857554
"logistic_linear(ridge), lambda=0.001",-0.07364100247606549,-0.8826890115349877,0.009431794912143762,-0.10322738660313772,0.00044000586990471845,-0.045946886470003834,0.05484091969218767,-0.2822404215051038,0.07873920677108316,-0.04775219584251193,0.060645499822202596,-0.028899087031943053,-1.971514914354076
"logistic_linear(ridge), lambda=0.01",-0.07363587117961862,-0.8826794866940691,0.00943156652503474,-0.1032258412517974,0.0004405650890809672,-0.04594650210537036,0.05484175655405047,-0.2822380896232624,0.07873795271700568,-0.04775131388658548,0.06064221897818552,-0.028898797667251473,-1.9715098543700464
"logistic_linear(ridge), lambda=0.1",-0.07358457504401762,-0.8825842564528693,0.009429283267591028,-0.10321039056755485,0.00044615632985609715,-0.04594265780972527,0.05485012048659659,-0.28221477526642896,0.07872541432953023,-0.047742496166982396,0.06060941992321081,-0.02889590434425022,-1.9714592646855307
"logistic_linear(ridge), lambda=1",-0.07307329106104085,-0.8816337659261465,0.009406511866158223,-0.1030561661389721,0.0005019737661927542,-0.04590415063678875,0.05493329309853006,-0.2819820765116129,0.07860024538317312,-0.04765450251043316,0.06028236516518683,-0.028867003475931734,-1.9709543806075147
"logistic_linear(ridge), lambda=10",-0.068122864237295,-0.8723052917038178,0.009184730479645672,-0.10154166828875272,0.0010507772057574633,-0.04551333182281804,0.055720163682213796,-0.27969827180133544,0.07736965462157042,-0.046792504848824704,0.05710275234543811,-0.028581201932481787,-1.9660040973802428
"logistic_linear(ridge), lambda=100",-0.030879855241308155,-0.7930284891388257,0.0074252400127553546,-0.08873866086115188,0.005709352990919584,-0.04148782522412672,0.06043352270458981,-0.26023307408214813,0.06683561590447722,-0.039620541335277225,0.032384772901829145,-0.026016506929469503,-1.924317955415725
