,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,intercept
"logistic_linear(lasso), lambda=0.001",-0.08446657966181023,-0.8613678264647439,-0.0053056237776897925,-0.1214434476045815,0.014584580585483693,-0.06991253805296058,0.047999552974238496,-0.25499638042489564,0.08997778110674459,-0.035856957555214126,0.06939137901429906,-0.04653728857912241,-0.3165906969785837
"logistic_linear(lasso), lambda=0.01",-0.08446569296765792,-0.8613477028811142,-0.005289591788316872,-0.12144343390960437,0.014566659999796339,-0.06985006470530807,0.04798935109682565,-0.255012120485575,0.08999219097111445,-0.03582252410472634,0.06938387387231154,-0.046532356118726935,-0.316551784185913
"logistic_linear(lasso), lambda=0.1",-0.08435772975280292,-0.8612743987524786,-0.005232612743706811,-0.12137802772773255,0.014530124790431724,-0.06973934891923982,0.047854507866964775,-0.25494135540643925,0.08992030561542501,-0.03576566295678366,0.06924678281063265,-0.046448443119314835,-0.3165603034972467
"logistic_linear(lasso), lambda=1",-0.08324926015695541,-0.8603319417376992,-0.004457933655954572,-0.12070448700864628,0.013993808275666918,-0.06820996446736172,0.04638801063788081,-0.2541809482056358,0.08934376555125467,-0.035194766850080446,0.06809552365896354,-0.04577460521294957,-0.3162364779154914
"logistic_linear(lasso), lambda=10",-0.0723258664507195,-0.8512710831183279,0.0,-0.11418880616476704,0.0085486824611776,-0.053060936444311146,0.031748481631073314,-0.2467225689834131,0.08352235251027797,-0.02978164438362034,0.05647275575534008,-0.03905277046496332,-0.3129779338637205
"logistic_linear(lasso), lambda=100",0.0,-0.774129065054272,0.0,-0.057692500143796045,0.0,0.0,0.0,-0.18050612909167638,0.019277465543923997,0.0,0.0,0.0,-0.2872091620882683
"logistic_linear(ridge), lambda=0.001",-0.08446556368947734,-0.8613427045869719,-0.00529543558242002,-0.12144112058890306,0.01460058871290278,-0.06992155740889744,0.048038256265954454,-0.25502050148883026,0.08997449711129453,-0.03583817850724832,0.06939684344532919,-0.046528379291839915,-0.316598016770687
"logistic_linear(ridge), lambda=0.01",-0.08446238743168909,-0.8613362447638533,-0.005295318697238639,-0.12143992160971238,0.01460082632382987,-0.06992075995593362,0.04803849291254787,-0.2550197602104222,0.08997364548517847,-0.035837889058749454,0.0693950310166884,-0.0465279786216027,-0.3165967727610443
"logistic_linear(ridge), lambda=0.1",-0.08443063094673914,-0.8612716553409693,-0.005294150107675156,-0.12142793349795955,0.01460320215050975,-0.06991278662659162,0.04804085864456914,-0.2550123473726841,0.08996513019529467,-0.035834994885939636,0.06937690948239988,-0.046523972421894814,-0.31658433361514887
"logistic_linear(ridge), lambda=1",-0.08411367415378193,-0.8606266402809566,-0.005282490368606162,-0.12130822012340707,0.014626932228323626,-0.069833173195155,0.048064442796727246,-0.2549382138667782,0.08988007426376066,-0.03580608437186513,0.06919596893046169,-0.046483960594714144,-0.3164600370877858
"logistic_linear(ridge), lambda=10",-0.08100371614816997,-0.8542627907728193,-0.005168439941789955,-0.12012758592304598,0.014861478128888475,-0.06904886316184189,0.04829318172928551,-0.2541965880023429,0.08903904912151277,-0.035520087979425435,0.06741363600642898,-0.04608876039663671,-0.31522644724087856
"logistic_linear(ridge), lambda=100",-0.054906321743387006,-0.7979567716912052,-0.004229732131131918,-0.10972962170588167,0.016963095508760656,-0.06223317846187028,0.05001476947459747,-0.24686590730244207,0.08145021137128668,-0.032937490817933436,0.05194810626259813,-0.04254817755642731,-0.3037247095149687
