,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,intercept
"logistic_linear(lasso), lambda=0.001",-0.10652482713128499,-0.8541636964209625,-0.013698086131283918,-0.10824245362761332,-0.03004200795288097,-0.12876241825842752,0.0891692208534606,-0.2964740882812343,0.08840111957630015,-0.053743850690780484,0.056379912023914194,-0.10272559744212292,-0.325970184331316
"logistic_linear(lasso), lambda=0.01",-0.10653090090461785,-0.8541707667042047,-0.01368318589499504,-0.10823691675639092,-0.030057262161294788,-0.12877535531351045,0.08918291149088546,-0.2964607632590363,0.08838208971565761,-0.05377670114625704,0.056372760360641753,-0.10268439628164362,-0.32601435851710214
"logistic_linear(lasso), lambda=0.1",-0.1064719621202068,-0.8541109620319723,-0.01364653212464829,-0.10817478722119783,-0.030007055667566146,-0.12864040899389845,0.08907185591238269,-0.29640559601089606,0.08834546615279647,-0.05373665579152472,0.05630091147411168,-0.10263649273645002,-0.32597846365393657
"logistic_linear(lasso), lambda=1",-0.10580754619997243,-0.8535256882701744,-0.013206282471888087,-0.10764061369622785,-0.02940247620918855,-0.12757028361952036,0.08814313184776576,-0.29573854062285365,0.08797054838132048,-0.05335368376321049,0.05556632575917908,-0.10221946222052591,-0.3257146963822046
"logistic_linear(lasso), lambda=10",-0.09947163025756223,-0.8479151374810988,-0.0089831903297962,-0.10240830499048635,-0.02365222392119648,-0.11675708802209071,0.0791225596513706,-0.28903340013199375,0.08441762726779806,-0.049680317420728495,0.04836777808005458,-0.0977060366170674,-0.3232469787010828
"logistic_linear(lasso), lambda=100",-0.0350267282921143,-0.7975477999356191,0.0,-0.0582880141784774,0.0,-0.023354725901637622,0.0,-0.2382103142578583,0.0485989882668675,-0.014589537729754814,0.0,-0.054507827243286434,-0.30205921974082944
"logistic_linear(ridge), lambda=0.001",-0.1065374703348748,-0.8541762511238667,-0.013685734024845384,-0.10822421018854106,-0.030061765347445445,-0.12875996699981104,0.08917968223001801,-0.2964734323134781,0.0883758023613756,-0.05378155974669797,0.05637215908127842,-0.10269807718958264,-0.3260134647197565
"logistic_linear(ridge), lambda=0.01",-0.10653530612291445,-0.8541723347849558,-0.013685623443311519,-0.10822352378467777,-0.03006132180780064,-0.12875885924274788,0.08917934716497415,-0.29647271723319574,0.08837530364797007,-0.05378130327206876,0.056371023712721395,-0.10269748400260864,-0.32601263614066117
"logistic_linear(ridge), lambda=0.1",-0.1065136665611916,-0.8541331747263303,-0.013684517751376067,-0.10821666037362153,-0.030056886784286255,-0.12874778294605485,0.0891759969073331,-0.29646556666439267,0.08837031684547925,-0.053778738689422345,0.05635967115360892,-0.10269155263219376,-0.32600435081142226
"logistic_linear(ridge), lambda=1",-0.10629752642160163,-0.8537419068144917,-0.013673473157092369,-0.10814808894987106,-0.03001257381048732,-0.12863714720819788,0.08914253355072874,-0.2963940843785541,0.08832048194780881,-0.053753109212650835,0.056246258094658504,-0.10263228880694696,-0.3259215436428377
"logistic_linear(ridge), lambda=10",-0.10416136630381159,-0.8498621259089653,-0.013564244761804468,-0.10746857332207092,-0.029573138646507378,-0.127543350179835,0.08881176293276488,-0.29568160150825196,0.08782541662415337,-0.05349843464165538,0.05512326823348435,-0.10204458559879946,-0.3250980372536576
"logistic_linear(ridge), lambda=100",-0.08505126009347519,-0.8140273226616719,-0.012579609101679599,-0.10122894125836192,-0.02552107072801431,-0.11771980011683411,0.08583853333162753,-0.2887864827563481,0.08317494438548559,-0.05110033344219445,0.04490527848563961,-0.09661402752013429,-0.31727821514806004
