,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,intercept
"svm_linear(svc), lambda=0.001",-0.05769861617591232,-0.8110736710368656,-0.0004259318156982772,-0.016600082628428936,0.0011813305463874713,-0.0021198796057433356,0.0008503162098350003,-0.0052481852762866765,0.0023825945900171064,-0.0013694406479771715,0.00041877464536810294,-0.0010588036093395203,-0.5353866271609657
"svm_linear(svc), lambda=0.01",-0.058506519536422275,-0.8095654630869831,5.332726414053468e-05,-0.018729831885138992,0.0001357178480247967,-0.00016154064769580145,3.8688118365826085e-05,-0.0005194266232138034,0.00022600320971832843,-0.00018752680080069695,1.8265394828631543e-05,-7.582830949104391e-05,-0.5355861905342623
"svm_linear(svc), lambda=0.1",-0.058519609728762134,-0.8094464326813977,4.0611983308735944e-05,-0.01898048162684063,-4.832766808249289e-05,-4.389193708220773e-05,-4.016563515563121e-05,-0.00010891811280089314,3.82805676508724e-05,-8.069716614045319e-06,-2.366822582189343e-05,-3.051937142117822e-05,-0.5356370291950266
"svm_linear(svc), lambda=1",-0.05846165861370878,-0.8093542008824102,8.853734200897634e-06,-0.018889595175650697,1.2086661385524167e-05,-5.160807543802548e-05,5.096031478757368e-05,-1.779272147928168e-05,1.740705883435112e-05,2.9269693442302014e-06,6.041378160404065e-06,-4.624596092384081e-05,-0.5356270127482791
"svm_linear(svc), lambda=10",-0.05838672177464943,-0.8093318323678549,3.4638250202334575e-05,-0.01895827680393225,-2.6408895390517273e-06,-2.2631762347735673e-05,3.38137261736704e-05,-0.00010968535548627756,9.869254239625036e-06,-2.3492872515795682e-05,8.335014712868016e-06,-5.872204679935322e-05,-0.5355791859087067
"svm_linear(svc), lambda=100",-0.058525593168039625,-0.8093744695777252,4.592527731461793e-05,-0.018938215177489948,3.13624828710557e-05,-8.534468681270502e-05,3.7892360702243555e-05,-0.00010198827844809522,6.713018259274506e-06,-7.128622711272126e-05,1.1934673113389582e-05,-4.015741950857965e-06,-0.5355868426437159
"svm_linear(lasso), lambda=0.001",-0.025896148889463046,-0.36732730524257745,-0.002344238423904428,-0.04818140440277725,0.007481115750921374,-0.025040662867401503,0.016810605318907566,-0.10426225798062481,0.03725571240905652,-0.014590550560446265,0.02703131909944567,-0.017795124522821636,-0.15704767261218755
"svm_linear(lasso), lambda=0.01",-0.025896954909563064,-0.3673313209398759,-0.002344352819654901,-0.04818273758043045,0.007482339460877277,-0.025040791023366937,0.016808524947809992,-0.10425666527304615,0.037254933833045435,-0.01459007503236648,0.027027341944191263,-0.01779455172769159,-0.15704674969050908
"svm_linear(lasso), lambda=0.1",-0.02588441602475928,-0.3673190659774691,-0.0023363866974221185,-0.04817452858278502,0.00747502153619623,-0.025025223720322058,0.016794838215297144,-0.10425590651143564,0.03724983829751877,-0.014584481042350852,0.027018881986081798,-0.017788214420272255,-0.15703573110089686
"svm_linear(lasso), lambda=1",-0.025781823380142812,-0.3672426959695998,-0.0022640954504688283,-0.048109717473083645,0.00741759992466988,-0.024879799178741085,0.01664858050458793,-0.1041840961552215,0.03719464558462368,-0.014529727365285836,0.026906149233223448,-0.017725025779814316,-0.15693347579700176
"svm_linear(lasso), lambda=10",-0.02474133091752944,-0.3664704714690383,-0.0015399035895540753,-0.047456762947079956,0.006840988085377722,-0.02341170697739984,0.015176398173686304,-0.1034856623250658,0.03664587003902595,-0.013980148699003901,0.025776619032547556,-0.017093829612098734,-0.15590703917047613
"svm_linear(lasso), lambda=100",-0.014319105909292102,-0.3590504276264543,0.0,-0.040986178876187856,0.0012317359861619254,-0.009190523929315958,0.0004477931356093384,-0.09601741223021416,0.031173088688120628,-0.00870146468013425,0.014527379454536523,-0.010793491321572861,-0.14560887468180606
"svm_linear(ridge), lambda=0.001",-0.025897546152267106,-0.3673294120701815,-0.0023448036399171565,-0.04818244436202505,0.007481628279083577,-0.02504175737540822,0.01681095776869533,-0.1042604865846682,0.03725559613337884,-0.014590783541790806,0.027031172252566394,-0.017795151433939962,-0.15704827431337182
"svm_linear(ridge), lambda=0.01",-0.025897435732322362,-0.3673291621051839,-0.002344799653594292,-0.04818239834329499,0.007481636872109919,-0.025041740021948772,0.01681098221861617,-0.10426047287666337,0.03725556529858872,-0.01459077256242279,0.027031105069007934,-0.01779513885463882,-0.15704809056277272
"svm_linear(ridge), lambda=0.1",-0.02589633154975126,-0.3673266624805118,-0.002344759791045863,-0.048181938161047384,0.0074817228017038,-0.025041566487908937,0.016811226711836758,-0.10426033579293582,0.03725525695295677,-0.014590662769710157,0.027030433240783684,-0.01779501306243976,-0.15704625307656328
"svm_linear(ridge), lambda=1",-0.02588529141143254,-0.36730166876421716,-0.0023443612335928565,-0.04817733684400309,0.007482582030745845,-0.025039831203007505,0.01681367104534346,-0.10425896458748297,0.03725217372357085,-0.014589564939314561,0.027023715694391583,-0.017793755221756653,-0.15702788019305589
"svm_linear(ridge), lambda=10",-0.02577505854030341,-0.3670519843447162,-0.002340382451634149,-0.04813137415942647,0.007491167627652079,-0.02502248392262482,0.016838054618752245,-0.10424521581166676,0.03722136410886899,-0.014578596295722751,0.026956613754850582,-0.017781184941602364,-0.15684434900812377
"svm_linear(ridge), lambda=100",-0.024689359671548235,-0.3645801182843636,-0.0023012630850274287,-0.0476767326552843,0.00757636291067182,-0.024849580091081385,0.017076020026161595,-0.10410414959051631,0.03691552076259278,-0.014469867922561911,0.026292885926003096,-0.017656291924595807,-0.1550285941830032
